,run,train_loss_means,val_loss_mean,test_acc_majority,test_f1_majority_binary,test_f1_majority_macro,emotion
0,0,,,0.9436152577400208,0.4354243576526642,0.7028750941116859,anger
1,1,,,0.9349548816680908,0.4006791114807129,0.6831452088417547,anger
2,2,,,0.9502487778663635,0.4556451737880707,0.7147891765130895,anger
3,3,,,0.9382715821266174,0.41124778985977173,0.6893380483974734,anger
4,4,,,0.9498802423477173,0.4516128897666931,0.7126765037465197,anger
0,0,,,0.971254825592041,0.39534884691238403,0.6903131502014801,disgust
1,1,,,0.9649898409843445,0.375,0.6784952606635072,disgust
2,2,,,0.9679380655288696,0.4161073863506317,0.6998119330334095,disgust
3,3,,,0.9592776894569397,0.3594202995300293,0.6691953480867332,disgust
4,4,,,0.9666482210159302,0.3864406645298004,0.6846494515884112,disgust
0,0,,,0.9804680347442627,0.539130449295044,0.7645765125720272,fear
1,1,,,0.984337568283081,0.5933014154434204,0.7926582329687322,fear
2,2,,,0.9764142036437988,0.4960629940032959,0.7419937602139356,fear
3,3,,,0.9852588772773743,0.603960394859314,0.7982250346701962,fear
4,4,,,0.9806522727012634,0.5414847135543823,0.7658011816080144,fear
0,0,,,0.9473005533218384,0.42105263471603394,0.6967232269863849,joy
1,1,,,0.959093451499939,0.47641509771347046,0.7275651694133396,joy
2,2,,,0.9620416164398193,0.4926108419895172,0.7364470726242655,joy
3,3,,,0.9565137028694153,0.45622119307518005,0.716786222878725,joy
4,4,,,0.9566980004310608,0.47191011905670166,0.7246667479849439,joy
0,0,,,0.9548553824424744,0.44695258140563965,0.7117098970462956,sadness
1,1,,,0.9594619274139404,0.45812806487083435,0.7185357086278563,sadness
2,2,,,0.9605675339698792,0.46766167879104614,0.7235935706084959,sadness
3,3,,,0.9620416164398193,0.47448980808258057,0.7273997440689142,sadness
4,4,,,0.9607517719268799,0.47921761870384216,0.7294125357999346,sadness
0,0,,,0.9561452269554138,0.4079602062702179,0.6925947187141217,surprise
1,1,,,0.965726912021637,0.4497041404247284,0.7160084042124595,surprise
2,2,,,0.9655426740646362,0.4483775794506073,0.7152967315970864,surprise
3,3,,,0.9660954475402832,0.4523809552192688,0.7174435661315297,surprise
4,4,,,0.9648056030273438,0.4365781843662262,0.709206822112532,surprise
